"RELADDR2","customer","bill type","SIC","billtype description","Search type","searchtype description","Long key","Customer name","Address 1","Address 2","Address 3","Town","Postal code","PRICING_SCHEDULE","SCHED_DESCRIPTION","Country code","Category 02","CUSTOMER_NATURE_DESCRIPTION","Category 21","CATEGORY_DESCRIPTION"
46568469,46568469,"B","B","Bill To Address Only","C","Customers","BE103921","UCB PHARMA SA/NV","","","ALLÉE DE LA RECHERCHE 60","BRUXELLES","1070","BEAS","Belgium Adv. Pricing Schedule","BE","E21","Pharmaceutical Company","",""
46568564,46568564,"B","B","Bill To Address Only","C","Customers","BE201878","AZ ALMA CAMPUS SIJSELE","TAV BOEKHOUDING -LEVERANCIERSADMIN","","RINGLAAN 15","EEKLO","9900","BEAS","Belgium Adv. Pricing Schedule","BE","E18","Merger (SCM)","",""
46570081,46570081,"B","B","Bill To Address Only","C","Customers","BE204467","APOTHEEK SERGEANT P BVBA","","","DORPSSTRAAT 2B","OUD-HEVERLEE","3050","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46570307,46570307,"B","B","Bill To Address Only","C","Customers","BE560026","FENWAL EUROPE SPRL","VAT  BE 0885.601.486","","RUE EDOUARD BELIN 2/4","MONT-SAINT-GUIBERT","1435","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46574220,46574220,"B","B","Bill To Address Only","C","Customers","BE205001","REVARTE REVALIDATIEZIEKENHUIS","","","DRIE EIKENSTRAAT 659","EDEGEM","2650","BEAS","Belgium Adv. Pricing Schedule","BE","E10","Care Center","",""
46575592,46575592,"B","B","Bill To Address Only","C","Customers","BE111130","SA PATRONA PHARMA GROUP","","","AVENUE HENRI JASPAR 138","SINT-GILLIS","1060","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46576262,46576262,"B","B","Bill To Address Only","C","Customers","BE560027","FENWAL EUROPE SPRL","VAT  BE 0885.601.486","","RUE EDOUARD BELIN 2/4","MONT-SAINT-GUIBERT","1435","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46576579,46576579,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010103069","CHR TOURNAISIS ASBL","EN LIQUIDATION","","BOULEVARD LALAING 39","TOURNAI","7500","","","BE","999","Default Customer Type","",""
46578116,46578116,"B","B","Bill To Address Only","C","Customers","BE229601","VETRINORD BVBA","","","GEMEENTEPLAATS 30","BRECHT","2960","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
46578246,46578246,"B","B","Bill To Address Only","C","Customers","BE204468","APOTHEEK GODELAINE","","","GISTELSESTEENWEG 172","OOSTENDE","8400","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46578363,46578363,"B","B","Bill To Address Only","C","Customers","BE102470","GLAXOSMITHKLINE BIOLOGICALS SA","","","RUE DE L'INSTITUT 89","RIXENSART","1330","BEAS","Belgium Adv. Pricing Schedule","BE","E21","Pharmaceutical Company","",""
46579287,46579287,"B","B","Bill To Address Only","C","Customers","BE204469","APOTHEEK VANBELLE","","","TIENSESTEENWEG 107","BIERBEEK","3360","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46579648,46579648,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010111150","PATRONA PHARMA GROUP NV","","","GIETERIJSTRAAT 151 BUS 1","GENK","3600","","","BE","999","Default Customer Type","",""
46580458,46580458,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010100399","CHU BRUGMANN CAPD","PHARMACIE CENTRALE 002/830","","PLACE VAN GEHUCHTEN 4","BRUXELLES (LAEKEN)","1020","","","BE","999","Default Customer Type","",""
46580944,46580944,"B","B","Bill To Address Only","C","Customers","BE144581","PHARMACIE DE FEXHE-SLINS SPRL","","","RUE PROVINCIALE 472","FEXHE-SLINS","4458","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46581580,46581580,"B","B","Bill To Address Only","C","Customers","BE112002","LABO D'HEPATOLOGIE PEDIATRIQUE","UCL 52.85 TOUR VESALE +3","","AVENUE MOUNIER 52","SINT-LAMBRECHTS-WOLUWE","1200","BEAS","Belgium Adv. Pricing Schedule","BE","E02","Private Laboratory","",""
46582741,46582741,"B","B","Bill To Address Only","C","Customers","BE110001","CHU BORDET","SERVICE DES ACHATS","","RUE HEGER BORDET 1","BRUXELLES","1000","BEAS","Belgium Adv. Pricing Schedule","BE","E31","University Hospital (SCM)","",""
46583973,46583973,"B","B","Bill To Address Only","C","Customers","BE406004","EDWARDS LIFESCIENCES AG","","","CHEMIN DU GLAPIN 6","ST PREX SWITZERLAND","1162","BEAS","Belgium Adv. Pricing Schedule","CH","E05","Export","",""
46586026,46586026,"B","B","Bill To Address Only","DC","Deactivated Trade Customer","BE237001","D'HONDT BRUNO","PLASTISCHE CHIRURGIE","","HOLENTEERSTRAAT 2","TONGEREN","3700","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
46588227,46588227,"B","B","Bill To Address Only","C","Customers","BE107780","PHARMACIE BOURGEOIS","","","PLACE SAINTE ANNE 9","COMINES","7780","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46589233,46589233,"X","","Bill To and Ship To Address","TC","Transportation Carriers","NL1072515","VLIETRA NV","ZONNEKESTRAAT 13 BISSEGEM","BISSEGEMSTRAAT 85 HEULE","","BISSEGEM","8501","","","BE","","","",""
46591163,46591163,"B","B","Bill To Address Only","C","Customers","BE202212","FAKULTEIT DIERGENEESKUNDE","VAKGROEP KLEINE HUISDIEREN","DR. L.VAN HAM","SALISBURYLAAN 133","MERELBEKE","9820","BEAS","Belgium Adv. Pricing Schedule","BE","E16","Faculty, Academy, School","",""
46592301,46592301,"B","B","Bill To Address Only","C","Customers","BE230101","APOTHEEK TIENSEPOORT BVBA","","","TIENSESTEENWEG 5","KESSEL-LO (LEUVEN)","3010","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46595334,46595334,"B","B","Bill To Address Only","C","Customers","BE112003","AMGEN N.V.","","","Telecomlaan 5-7","DIEGEM","1831","BEAS","Belgium Adv. Pricing Schedule","BE","E15","Entreprise","",""
46597359,46597359,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010114200","CARDIO3 BIOSCIENCES","","","BOULEVARD DE FRANCE 9","BRAINE L'ALLEUD","1420","","","BE","999","Default Customer Type","",""
46597685,46597685,"B","B","Bill To Address Only","C","Customers","BE237701","BB FARMA MANAGENENT BVBA","APOTEEK TANS","","MAASTRICHTERSTEENWEG 11A B2","RIEMST","3770","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46599026,46599026,"B","B","Bill To Address Only","C","Customers","BE218000","NOVARTIS PHARMA SA-NV","","","MEDIALAAN 40 BUS 1","VILVOORDE","1800","BEAS","Belgium Adv. Pricing Schedule","BE","E21","Pharmaceutical Company","",""
46600104,46600104,"B","B","Bill To Address Only","C","Customers","BE211818","APOTHEEK OUSHOORN N.V.","","","DOORNZELEDRIES 46A","EVERGEM","9940","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46601268,46601268,"B","B","Bill To Address Only","C","Customers","BE111050","MAISON MEDICALE GALILEE","DR WEISS","","RUE EMILE FERRON","BRUXELLES","1060","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46602248,46602248,"B","B","Bill To Address Only","C","Customers","BE231300","APOTHEEK 'T BEGIJNTJE NV","","","BAALSESTEENWEG 8","BEGIJNENDIJK","3130","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46603605,46603605,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","NL1078319","JAN DE RIJK BENELUX BV","LEEMSTRAAT 15","","","ROOSENDAAL","4700 BB","","","NL","","","",""
46605631,46605631,"X","","Bill To and Ship To Address","V","Vendors - Suppliers","EU1079351","DHL GLOBAL FORWARDING BE NA SA","BEDRIJVENZONE MACHELEN","CARGO 830","","MACHELEN","1830","","","BE","","","",""
46605633,46605633,"X","","Bill To and Ship To Address","V","Vendors - Suppliers","EU1079353","UPS INTERNATIONAL SA","WOLUWELAAN 156","","","DIEGEM","1831","","","BE","","","",""
46605649,46605649,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","EU1079363","NIPPON EXPRESS BELGIUM","BRUCARGO B723","","","BRUCARGO","1931","","","BE","","","",""
46605652,46605652,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1079365","BUSINESS EXPRESS","RUE D ORMONT 67","","","KAIN","7540","","","BE","","","",""
46606133,46606133,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1079624","HENRI ESSERS & ZONEN NV","TRANSPORTLAAN, 4","","3600 GENK","GENK","3600","","","BE","","","",""
46606138,46606138,"X","","Bill To and Ship To Address","TC","Transportation Carriers","FR1079625","DSV ROAD SA","TRANSPORTCENTRUM LAR E30","","","REKKEM","8930","","","BE","","","",""
46606176,46606176,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","EU1079648","YUSEN AIR & SEA SERVICE","BRUCARGO BUILDING 753","","","BRUCARGO","1931","","","BE","","","",""
46606177,46606177,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1079649","DEMOLANS NV","Z.I. DE L'EPINETTE","","","HERSEAUX","7712","","","BE","","","",""
46606182,46606182,"X","","Bill To and Ship To Address","DV","Deactivated Trade Vendor","EU1079653","CCI WALLONIE PICARDE","RUE DE LA TERRE A BRIQUES 29 A","","","MARQUAIN","7522","","","BE","","","",""
46606187,46606187,"X","","Bill To and Ship To Address","DV","Deactivated Trade Vendor","EU1079658","SCHENKER BELGIUM NV","BLOKHUISSTRAAT 36","","","MECHELEN","2800","","","BE","","","",""
46606188,46606188,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1079659","ECS EUROPEAN CONTAINERS","KARVEELSTRAAT, 3","","","ZEEBRUGGE (BRUGGE)","8380","","","BE","","","",""
46606191,46606191,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1079660","APL (BELGIUM)","KONINGIN ASTRIDPLEIN 41","","","ANTWERPEN","2018","","","BE","","","",""
46606196,46606196,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1079663","DHL International Express","POSTBUS 31","","","DIEGEM","1831","","","BE","","","",""
46606215,46606215,"X","","Bill To and Ship To Address","DV","Deactivated Trade Vendor","EU1079678","AVCT","NIJVERHEIDSLAAN 52","","","AVELGEM","8580","","","BE","","","",""
46606406,46606406,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1079773","EXPEDITORS INTERNATIONAL SA","BUILDING 752","","","BRUCARGO","1931","","","BE","","","",""
46606408,46606408,"X","","Bill To and Ship To Address","DV","Deactivated Trade Vendor","EU1079775","CMA CGM BELGIUM NV","STIJFSELRUI 36 BUS 2","","","ANTWERPEN","2000","","","BE","","","",""
46606409,46606409,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","EU1079776","""K""LINE(BELGIUM) SA","GEULINCXSTRAAT 20","","","ANTWERPEN","2060","","","BE","","","",""
46607017,46607017,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1080057","Movianto International","MOERSTRAAT 48-50","","","DRONGEN","9031","","","BE","","","",""
46607018,46607018,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1080058","DHL Freight Belgium nv","Satenrozen 11","","","Kontich","2550","","","BE","","","",""
46607279,46607279,"X","","Bill To and Ship To Address","DV","Deactivated Trade Vendor","EU1080189","MULLER TRANSPORTE GESELLSCHAFT MBH","(CH5 ONLY)","","PALMERSTRASSE, 10","WIENER NEUDORF","A-2351","","","AT","","","",""
46607932,46607932,"B","B","Bill To Address Only","C","Customers","BE287500","VLIETRA NV","","","ZONNEKESTRAAT 13","BISSEGEM","8501","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46608867,46608867,"B","B","Bill To Address Only","C","Customers","BE523400","MILTENYI BIOTEC BV","","","POSTBUS 85183","AD UTRECHT","3508","BEAS","Belgium Adv. Pricing Schedule","NL","E14","Community","",""
46608890,46608890,"B","B","Bill To Address Only","DC","Deactivated Trade Customer","BE535080","MILTENYI BIOTEC B.V.","","","POSTBUS 85183","UTRECHT","3508AD","BEAS","Belgium Adv. Pricing Schedule","NL","999","Default Customer Type","",""
46609053,46609053,"B","B","Bill To Address Only","C","Customers","BE222000","DIERENARTSENPRAKTIJK ORION","","","VOORTKAPELSEWEG 77","NOORDERWIJK","2200","BEAS","Belgium Adv. Pricing Schedule","BE","E16","Faculty, Academy, School","",""
46609161,46609161,"B","B","Bill To Address Only","C","Customers","BE290300","BVBA AP.VAN OVERBERGE -","VAN DEN STEEN","","LINDEKOUTERSTRAAT 2","MARIAKERKE (GENT)","9030","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46609613,46609613,"B","B","Bill To Address Only","C","Customers","BE230121","APOTHEEK WIAGRI PVBA","","","AARSCHOTSESTEENWEG 604","WILSELE","3012","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46609724,46609724,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1081356","OOCL BENELUX","THEATER BUILDING-ITALIELEI 124","74","","ANTWERPEN","2000","","","BE","","","",""
46609730,46609730,"X","","Bill To and Ship To Address","V","Vendors - Suppliers","BE1081359","KUEHNE NAGEL NV","BORSBEEKSEBRUG 30 1","","","ANTWERPEN","2600","","","BE","","","",""
46609774,46609774,"B","B","Bill To Address Only","C","Customers","BE144200","PHARMACIE MASEREEL (BIOPHA)","","","PLACE EMILE VANDERVELDE 14","MONTEGNEE","4420","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46610105,46610105,"B","B","Bill To Address Only","C","Customers","BE298202","VAKGROEP VIROLOGIE,","PARASITOLOGIE EN IMMUNOLOGIE","LABO IMMUNOLOGIE PROF COX","SALISBURYLAAN 133","MERELBEKE","9820","BEAS","Belgium Adv. Pricing Schedule","BE","E16","Faculty, Academy, School","",""
46610719,46610719,"B","B","Bill To Address Only","C","Customers","BE106800","PATRONA PHARMA","SA","","HENRI JASPARLAAN 135","BRUSSEL (SINT-GILLIS)","1060","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
46612156,46612156,"B","B","Bill To Address Only","C","Customers","BE226001","AWARD BIOCHEMICA","DHR. BETBENJAMIN SAMUEL","","PRINS ALBERTLEI 28","BERCHEM","2600","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46613394,46613394,"B","B","Bill To Address Only","C","Customers","BE168900","DPM S.A.","","","RUE DE VILLANCE 89","LIBIN","6890","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46613533,46613533,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1083023","ATTRANS INTERNATIONAL TRANSPORT","MDINA ROAD","","","ZEBBUG","9018","","","MT","","","",""
46613666,46613666,"B","B","Bill To Address Only","C","Customers","BE204480","APOTHEEK VAN DAMME NV","","","MOERKERKSESTEENWEG 169","SINT-KRUIS (BRUGGE)","8310","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46614036,46614036,"B","B","Bill To Address Only","C","Customers","BE160410","BONE THERAPEUTICS SA","","","Rue Auguste Piccard 37","GOSSELIES","6041","BEAS","Belgium Adv. Pricing Schedule","BE","E02","Private Laboratory","",""
46614866,46614866,"B","B","Bill To Address Only","C","Customers","BE282000","APOTHEEK GOBERT BVBA","","","'T KLOOSTERHOF 11","SINT MICHIELS","8200","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46615833,46615833,"B","B","Bill To Address Only","DC","Deactivated Trade Customer","BE300002","ETS.FRANCAIS DU SANG ILE DE FR","LABO DE THERAPIE CELLULAIRE","SITE HENRI MONDOR","51,AV.M.DE LATTRE DE TASSIGNY","CRETEIL (FRANCE)","94010","BEAS","Belgium Adv. Pricing Schedule","FR","999","Default Customer Type","",""
46616146,46616146,"B","B","Bill To Address Only","C","Customers","BE114351","CARDIO3 BIOSCIENCES SA-NV","AXIS PARC BUSINESS CENTER","","RUE EDOUARD BELIN 12","MONT-SAINT-GUIBERT","1435","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46616279,46616279,"B","B","Bill To Address Only","C","Customers","BE226600","APOTEEK WIM SPYSSCHAERT","","","ST.BERNARDSESTEENWEG 808","HOBOKEN","2660","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46618006,46618006,"B","B","Bill To Address Only","C","Customers","BE286470","DUBAERE - VOET B.V.B.A.","","","LOSTRAAT 6","LO-RENINGE","8647","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46618528,46618528,"B","B","Bill To Address Only","C","Customers","BE236001","APOTHEEK BOXBERG","","","LANDWAARTSLAAN 34","GENK","3600","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46619704,46619704,"B","B","Bill To Address Only","C","Customers","BE223001","AZ TURNHOUT CAMPUS ST ELISABETH","*** USE 46619706 ***","","STEENWEG OP MERKSPLAS 44","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
46619706,46619706,"B","B","Bill To Address Only","C","Customers","BE223002","AZ TURNHOUT","TAV DIENST BOEKHOUDING","","STEENWEG OP MERKSPLAS 44","TURNHOUT","2300","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
46619760,46619760,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010000026","GROEP AZ TURNHOUT","","","STWG OP MERKSPLAS 44","TURNHOUT","2300","","","BE","999","Default Customer Type","",""
46621671,46621671,"B","B","Bill To Address Only","C","Customers","BE210900","APOTHEEK JOCHMANS BVBA","","","AVENUE DE JETTE 290","BRUXELLES","1090","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46621872,46621872,"B","B","Bill To Address Only","C","Customers","BE110300","PHARMACIE S.HAVAUX","SPRL PARRY","","RUE GENERAL GRATRY 1","BRUXELLES","1030","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46621907,46621907,"B","B","Bill To Address Only","C","Customers","BE120000","CHU BRUGMANN","Au responsable Service Comptabilité","","PLACE VAN GEHUCHTEN 4","BRUXELLES (LAEKEN)","1020","BEAS","Belgium Adv. Pricing Schedule","BE","E31","University Hospital (SCM)","",""
46622212,46622212,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","EU1086975","ISG SPEDITIONS UND LOGISTIK GMBH","&CO. KG","DAIMLERSTRASSE 22","","MALSCH","76316","","","DE","","","",""
46623449,46623449,"B","B","Bill To Address Only","C","Customers","BE298900","APOTHEEK FARCAS N.V.","","","STEENWEG 95","ASPER","9890","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46623789,46623789,"B","B","Bill To Address Only","DC","Deactivated Trade Customer","BE219300","SECURILINK","","","VIERWINDEN 9","ZAVENTEM","1930","BEAS","Belgium Adv. Pricing Schedule","BE","999","Default Customer Type","",""
46624598,46624598,"B","B","Bill To Address Only","C","Customers","BE100601","KOEKELBERG SA ENTREPRISE","","","RUE NOEL SART CULPART 44","GILLY (CHARLEROI)","6060","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46624774,46624774,"B","B","Bill To Address Only","C","Customers","BE190020","CENTRE HOSPITALIER DU NORD","","","B.P. 103","ETTELBRUCK  LUXEMBOURG","L-9002","BEAS","Belgium Adv. Pricing Schedule","LU","116","Public Hospital","",""
46624882,46624882,"B","B","Bill To Address Only","C","Customers","BE284000","APOTHEEK BRUNO PIERS","PIERS BVBA","","BREIDELSTRAAT 5","OOSTENDE","8400","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46624886,46624886,"B","B","Bill To Address Only","C","Customers","BE235003","VZW JESSA ZIEKENHUIS","DIENST BOEKHOUDING","","SALVATORSTRAAT 20","HASSELT","3500","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
46625052,46625052,"B","B","Bill To Address Only","C","Customers","BE283000","APOTHEEK VANDERHASSELT BVBA","","","KRAGENDIJK 45 BUS A","KNOKKE","8300","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46625191,46625191,"B","B","Bill To Address Only","C","Customers","BE110002","PHARMACIE DE L'ETOILE","","","RUE DE L'ENSEIGNEMENT 38","BRUXELLES","1000","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46627139,46627139,"B","B","Bill To Address Only","C","Customers","BE285000","MERCEDEZ-BENZ BELUX","NADINE VAN ROOS","FILIP GODDE","TOLLAAN 68","BRUSSEL","1200","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46627448,46627448,"B","B","Bill To Address Only","C","Customers","BE114100","REBOR SPRL","","","AV.DE L'ABBAYE D'AYWIERS 8","WATERLOO","1410","BEAS","Belgium Adv. Pricing Schedule","BE","E06","Wholesalers","",""
46627512,46627512,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","BE1089761","GEODIS WILSON BELGIUM SA","BISSCHOPPENHOFLAAN 645","","","DEURNE (ANTWERPEN)","2100","","","BE","","","",""
46627794,46627794,"B","B","Bill To Address Only","C","Customers","BE000200","BAXTER BELGIUM SPRL","BASIS NUMBER FOR WHOLESALERS","AND PHARMACIES","BLVD R BRANQUART 80","LESSINES","7860","BEAS","Belgium Adv. Pricing Schedule","BE","200","Inter-Company","",""
46627797,46627797,"E","E","Basis Account","C","Customers","BE000250","BAXTER BELGIUM SPRL","BASIS NUMBER FOR WHOLESALERS","AND PHARMACIES","BLVD R BRANQUART 80","LESSINES","7860","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46627888,46627888,"E","E","Basis Account","C","Customers","BE000500","BAXTER BELGIUM WHOLESALERS/PP","BASISNR WHOLESALERS PHARMACIES","","BLD R BRANQUART 80","LESSINES","7860","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46627913,46627913,"B","B","Bill To Address Only","C","Customers","BE111301","APOTHEEK VERNIMMEN","","","VERDUNSTRAAT 370","BRUSSEL","1130","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46629226,46629226,"B","B","Bill To Address Only","C","Customers","BE214001","APOTHEEK BIO-VITALPHARMA","","","TURNHOUTSEBAAN 282","BORGERHOUT (ANTWERPEN)","2140","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46629356,46629356,"B","B","Bill To Address Only","C","Customers","BE339000","APOTHEEK ST-JORIS","","","LEUVENSESTEENWEG 198","TIELT-WINGE","3390","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46629783,46629783,"B","B","Bill To Address Only","C","Customers","BE200000","CLINIQUES DE L'EUROPE","COMPTABILITE-FOURNISSEURS","","AVENUE DE FRE 206","BRUXELLES (UCCLE)","1180","BEAS","Belgium Adv. Pricing Schedule","BE","104","Private Hospital","",""
46629847,46629847,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1090938","PANALPINA WORLD TRANSPORT","BRUSSELS INTERNATIONAL CARGO","AIRPORT 743","","BRUCARGO","1931","","","BE","","","",""
46631815,46631815,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","EU1092082","TRANSPORT EN AIRPORT SERVICE (LE)","BEEKSTRAAT 133","","","DRONGEN","9031","","","BE","","","",""
46632942,46632942,"B","B","Bill To Address Only","C","Customers","BE121212","CHU BRUGMANN (ACCOUNTING)","PHARMACIE CENTRALE","","PLACE VAN GEHUCHTEN 4","BRUXELLES (LAEKEN)","1020","BEAS","Belgium Adv. Pricing Schedule","BE","E31","University Hospital (SCM)","",""
46633491,46633491,"B","B","Bill To Address Only","C","Customers","BE299403","BVBA DE SERVICE APOTHEEK","","","SCHURHOVENVELD 2441","SINT-TRUIDEN","3800","BEAS","Belgium Adv. Pricing Schedule","BE","E19","Pharm. Group","",""
46633605,46633605,"X","","Bill To and Ship To Address","TC","Transportation Carriers","BE1092966","TNT EXPRESS (BELGIUM) NV","BUILDING 711","","","BRUCARGO","1931","","","BE","","","",""
46634366,46634366,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010300099","CLINIQUES DE L'EUROPE","COMPTABILITE-FOURNISSEURS","","AVENUE DE FRE 206","BRUXELLES (UCCLE)","1180","","","BE","999","Default Customer Type","",""
46634472,46634472,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010199999","CLINIQUES DE L'EUROPE","MERONEM COMPONENT","","AVENUE DE FRE 206","BRUXELLES (UCCLE)","1180","","","BE","999","Default Customer Type","",""
46634948,46634948,"B","B","Bill To Address Only","C","Customers","BE400785","UZ LEUVEN","BOEKHOUDING","","HERESTRAAT 49","LEUVEN","3000","BEAS","Belgium Adv. Pricing Schedule","BE","116","Public Hospital","",""
46635462,46635462,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","BE1093951","DACHSER BELGIUM SA","AVENUE DE L'EAU VIVE 1","","","MOUSCRON","7700","","","BE","","","",""
46635465,46635465,"X","","Bill To and Ship To Address","TC","Transportation Carriers","EU1093953","PENSKE LOGISTICS B.V.","P.O. BOX 142","","","ROSENDAAL","4700 AC","","","NL","","","",""
46635711,46635711,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","010102650","PHARMACIE DU BOTANIQUE","ANTHA CONSULT SPRLU","","RUE LOUVREX 56","LIEGE","4000","","","BE","999","Default Customer Type","",""
46635713,46635713,"B","B","Bill To Address Only","C","Customers","BE102651","PHARMACIE DU BOTANIQUE","ANTHA CONSULT SPRLU","","RUE LOUVREX 56","LIEGE","4000","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46636873,46636873,"B","B","Bill To Address Only","C","Customers","BE203700","BVG TRANSEXPRESS BVBA","","","MAALBROEKSTRAAT 16","BAVEGEM","9520","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46637215,46637215,"B","B","Bill To Address Only","C","Customers","BE203701","APOTHEEK RAMAEKERS BVBA","","","DORPSSTRAAT 136","GELLIK","3620","BEAS","Belgium Adv. Pricing Schedule","BE","161","Pharmacy","",""
46640685,46640685,"B","B","Bill To Address Only","C","Customers","BE143500","PROMETHERA BIOSCIENCES","WATSON & CRICK HILL","","RUE GRANDBONPRE 11","MONT-SAINT-GUIBERT","1435","BEAS","Belgium Adv. Pricing Schedule","BE","E15","Entreprise","",""
46642149,46642149,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","BE1097039","NOLAN TRANSPORT","OAKLANDS","","","WEXFORD",".","","","IE","","","",""
46642355,46642355,"B","B","Bill To Address Only","C","Customers","BE203710","SGS BELGIUM","DIVISIE CPU","","NOORDERLAAN 87","ANTWERPEN","2030","BEAS","Belgium Adv. Pricing Schedule","BE","E14","Community","",""
46642780,46642780,"X","","Bill To and Ship To Address","ZTC","Deactivated Carriers","BE1097389","TRI-VIZOR NV","GALILEILAAN 18","","2845 NIEL","NIEL","2845","","","BE","","","",""
46642868,46642868,"B","B","Bill To Address Only","C","Customers","BE203711","CSM EUROPE SA","WATSON & CRICK HILL","","RUE GRANBONPRE 11","MONT-SAINT-GUIBERT","1435","BEAS","Belgium Adv. Pricing Schedule","BE","E15","Entreprise","",""
46642928,46642928,"X","","Bill To and Ship To Address","DC","Deactivated Trade Customer","BE1097464","GOKBORA","HAMBURGERSTR. 50","","","DUISBURGD","47229","","","DE","","","",""
